ornament,voice,bar,pitch
E 1 T -1 T -2 T 2 T -2 Q,0,65 7/8,65
E -2 S 2 S 2 S -2 S -2 S -1 S 1 E,0,66 5/8,65
E 2 E,0,67 1/8,67
E -1 E,0,67 3/8,64
E 0 E,2,68 1/8,57
S 2 S 1 S 2 S 2 Q,2,68 5/16,57
R 0 E,2,69 5/8,57
E 4 E,3,70 1/8,52
R 0 S 1 S 2 S 2 E,1,70 5/16,52
E -2 E 2 E 1 E,3,70 5/8,43
E -3 T 2 T 1 T 2 T -2 E,1,71 5/8,57
E -2 E,3,72 3/8,48
E -2 S -2 S 4 S,1,72 5/8,55
S -2 S 2 T -2 T -2 T 2 T 2 E,1,72 13/16,55
E 6 E,2,73 1/8,58
E 2 S -2 S -2 E,1,73 3/8,62
E 2 S 1 S -1 E,2,73 5/8,57
E 2 E,3,73 7/8,47
E 2 S -2 S -2 E,1,74 1/8,62
E -1 S 1 S 2 S -2 S 2 T -2 T -1 T -2 T -2 Q,3,74 5/8,47
S -2 S -2 S 4 S -2 E,2,76 1/16,60
E 2 T -2 T -2 T 2 T -2 E -2 E -1 Q,3,76 5/8,52
S -1 S 1 T -1 T 1 T 2 T -2 E,2,77 13/16,57
E 2 S -2 S -1 E,2,78 3/8,57
E 1 E,2,78 5/8,55
E -1 E,2,78 7/8,54
E. -1 S 1 S -1 S 1 T -1 T 1 T 2 T -2 E,2,79 3/16,54
E 0 S -2 S -1 S 1 S 2 S 2 S 1 E,0,79 5/8,67
E -1 E 1 E 2 E -2 Q,2,80 1/8,54
E -2 S 2 S 1 T,0,81 5/8,67
R 0 T -2 T -2 T 2 T -2 T -1 T -2 T -2 Q,2,81 25/32,69
E -6 S 2 S 2 S,1,82 5/8,58
R 0 S -2 S -1 S 1 Q,2,82 13/16,60
E. 2 S -2 E -1 E,3,84 3/16,55
E -4 E 2 E 2 E -7 E.,3,84 5/8,46
E. -1 S -2 S 2 S 1 S,1,85 3/16,57
S 2 S,1,85 7/16,60
E -3 S 1 S 2 S -3 S 1 S 2 S 2 E.,2,86 1/8,57
E. 2 S 1 S -3 S 2 S 1 S 2 Q,3,86 11/16,52
E -3 S 2 S 1 S,1,87 5/8,55
