ornament,voice,bar,pitch
S 2 S 1 S 2 S 2 S -2 S -2 S -1 S 1 S,3,109 1/16,57
S -5 S 1 S 2 S 2 S -2 S 2 S 2 S 1 E.,1,109 9/16,57
R 0 T 1 T 2 S,3,110 3/16,57
S -2 S 2 T -2 T -1 T -2 T 2 E.,3,110 5/16,58
R 0 T 2 T -2 E,2,110 11/16,55
R 0 E,3,110 7/8,53
S -2 S -1 S -2 S 2 S,1,111 1/16,62
S -4 S 2 S 2 S 1 S,1,111 5/16,57
S 2 S 1 S -3 S 2 S,1,111 9/16,64
S -2 S -1 S -2 S 2 E,1,111 13/16,62
R 0 T -2 T 3 S,1,112 11/16,61
S -1 S 1 T -1 T -2 T 2 T 1 E.,1,112 13/16,61
E. -2 T 2 T 1 S -1 S 1 T -1 T -2 T 2 T 1 S,2,113 3/16,55
S -5 S 1 S 2 S 2 S -2 S 2 S 2 S 1 E.,0,113 9/16,57
R 0 T 1 T 2 S,2,114 3/16,57
S -2 S 2 T -2 T -1 T -2 T 2 S,2,114 5/16,58
R 0 S -2 S 2 S 1 S,0,114 9/16,64
S -3 S 2 S 1 S -1 S,0,114 13/16,62
S -2 S -1 S -2 S 2 S,0,115 1/16,62
S 1 S 2 S -3 S 1 S,0,115 5/16,62
R 0 S 1 S 2 S 2 S -2 S 2 S,1,115 9/16,57
R 0 S,0,115 15/16,64
S -1 S 1 S -3 S 5 E,0,116 1/16,64
E -2 E,2,116 3/8,55
R 0 T -2 T 3 S,0,116 11/16,66
S -1 S,0,116 13/16,66
T -1 T -2 T 2 T 1 S,0,116 29/32,66
S 2 S 1 S 2 S 2 S -2 S -2 S -1 S 1 S,3,117 1/16,57
S -5 S 1 S 2 S 2 S -2 S 2 S 2 S 1 S,1,117 9/16,57
S -8 S 1 S 2 S 2 S,1,118 1/16,57
R 0 S -2 S -1 S 1 E.,3,118 5/16,60
E. -1 T 1 T 2 S,3,118 11/16,57
S -2 S 2 T -2 T -1 T -2 T 2 E.,3,118 13/16,58
R 0 T 1 T 2 S,0,119 3/16,64
R 0 S 2 T -2 T -1 T -2 T 2 S,1,119 5/16,65
S -2 S -1 S -2 S 2 S,1,119 9/16,62
S 1 S 2 S -3 S 1 Q,1,119 13/16,62
E -7 S 2 S 1 S 2 S 2 S 1 S 2 S,0,120 5/8,62
S -1 S 1 S 2 S 2 S -2 S 2 S 1 S -1 Q,1,121 1/16,59
R 0 T 2 T 2 T -2 E -2 E,2,122 5/32,53
R 0 E -2 E -2 E 2 Q,1,122 7/8,64
R 0 S,2,126 11/16,54
S -1 S,2,126 13/16,54
T -1 T -2 T 2 T 1 Q,2,126 29/32,54
S -1 S 1 S 2 S -2 E,2,131 9/16,57
E -1 E 1 E 2 E,2,133 1/8,57
E 2 E 1 E -1 E,1,134 5/8,57
S -1 S 1 S 2 S -2 E 2 E,2,136 9/16,57
E -2 E 2 E 1 E,1,138 5/8,50
S 2 S 1 S 2 S 2 S -2 S -2 S -1 S -2 S,1,139 1/16,57
S -9 S 2 S 2 S 1 S -1 S 1 S 2 S 2 Q,0,139 9/16,53
R 0 T -2 T 3 S,2,144 11/16,57
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,144 13/16,57
E -3 E 3 E 2 E,1,147 5/8,48
S -2 S 2 S 1 S -1 E,0,153 13/16,67
E. -1 T 1 T -1 E -2 E 2 W,0,154 11/16,64
